All Ordinaries Index (1 February 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
PRR,Prima Biomed LTD,Health Care,"70,484,600",0,,,
PRT,Prime Media Group Limited,Consumer Discretionary,"113,562,000",0.01,,,
PRU,Perseus Mining Limited,Materials,"355,993,000",0.02,,,
PRY,Primary Health Care Limited,Health Care,"1,976,230,000",0.11,,,
PSI,PSC Insurance Group Limited,Financials,"446,249,000",0.03,,,
PSQ,Pacific Smiles Group Limited,Health Care,"302,467,000",0.02,,,
PTM,Platinum Asset Management Limited,Financials,"2,915,790,000",0.17,,,
PWH,PWR Holdings Limited,Consumer Discretionary,"223,000,000",0.01,,,
QAN,Qantas Airways Limited,Industrials,"6,118,920,000",0.35,,,
QBE,QBE Insurance Group Limited,Financials,"17,144,900,000",0.99,,,
QMS,QMS Media Limited,Consumer Discretionary,"348,251,000",0.02,,,
QUB,Qube Holdings Limited,Industrials,"3,353,920,000",0.19,,,
RCG,RCG Corporation Limited,Consumer Discretionary,"738,863,000",0.04,,,
RCR,RCR Tomlinson Limited,Industrials,"428,288,000",0.02,,,
RCT,Reef Casino Trust Unit,Consumer Discretionary,"188,885,000",0.01,,,
REA,REA Group LTD,Consumer Discretionary,"6,896,580,000",0.4,,,
REG,Regis Healthcare Limited,Health Care,"1,288,540,000",0.07,,,
REH,Reece Limited,Industrials,"4,472,040,000",0.26,,,
RFF,Rural Funds Group Stapled,Real Estate,"348,325,000",0.02,,,
RFG,Retail Food Group Limited,Consumer Discretionary,"1,124,990,000",0.06,,,
RHC,Ramsay Health Care Limited,Health Care,"13,400,000,000",0.77,,,
RHL,Ruralco Holdings Limited,Consumer Discretionary,"237,893,000",0.01,,,
RHP,Rhipe Limited,Information Technology,"74,043,000",0,,,
RIC,Ridley Corporation Limited,Consumer Staples,"407,858,000",0.02,,,
RIO,RIO Tinto Limited,Materials,"28,437,900,000",1.64,,,
RKN,Reckon Limited,Information Technology,"187,503,000",0.01,,,
RMD,Resmed Inc Cdi 10:1,Health Care,"12,575,100,000",0.73,,,
RMS,Ramelius Resources Limited,Materials,"312,514,000",0.02,,,
RRL,Regis Resources Limited,Materials,"1,623,220,000",0.09,,,
RSG,Resolute Mining Limited,Materials,"1,079,680,000",0.06,,,
RVA,Reva Medical Inc Cdi 10:1,Health Care,"406,374,000",0.02,,,
RWC,Reliance Worldwide Corporation Limited,Industrials,"1,506,750,000",0.09,,,
RWH,Royal Wolf Holdings Limited,Industrials,"150,581,000",0.01,,,
S32,SOUTH32 Limited,Materials,"14,800,100,000",0.85,,,
SAR,Saracen Mineral Holdings Limited,Materials,"880,228,000",0.05,,,
